telegramId,postUrl
"20250416","https://t.me/Blacklist_pvz/685"
"20250420","https://t.me/Blacklist_pvz/701"
"20250422","https://t.me/Blacklist_pvz/709"
"20250423","https://t.me/Blacklist_pvz/714"
"20250427","https://t.me/Blacklist_pvz/727"
"20250507","https://t.me/Blacklist_pvz/776"
"20250508","https://t.me/Blacklist_pvz/780"
"37464354","https://t.me/Blacklist_pvz/1357"
"57114664","https://t.me/Blacklist_pvz/1503"
"59879437","https://t.me/Blacklist_pvz/2446"
"126418701","https://t.me/Blacklist_pvz/2847"
"135535303","https://t.me/Blacklist_pvz/679"
"138921357","https://t.me/Blacklist_pvz/1351"
"165445170","https://t.me/Blacklist_pvz/2505"
"166910634","https://t.me/Blacklist_pvz/244"
"169292367","https://t.me/Blacklist_pvz/1153"
"192010251","https://t.me/Blacklist_pvz/165"
"198041883","https://t.me/Blacklist_pvz/113"
"198489970","https://t.me/Blacklist_pvz/538"
"210149602","https://t.me/Blacklist_pvz/670"
"225259928","https://t.me/Blacklist_pvz/2679"
"232643484","https://t.me/Blacklist_pvz/106"
"251084272","https://t.me/Blacklist_pvz/287"
"270713733","https://t.me/Blacklist_pvz/408"
"284922775","https://t.me/Blacklist_pvz/2342"
"335533501","https://t.me/Blacklist_pvz/543"
"348855464","https://t.me/Blacklist_pvz/2170"
"371172941","https://t.me/Blacklist_pvz/1239"
"409223249","https://t.me/Blacklist_pvz/749"
"417908755","https://t.me/Blacklist_pvz/289"
"419698137","https://t.me/Blacklist_pvz/2297"
"419916745","https://t.me/Blacklist_pvz/2498"
"424775391","https://t.me/Blacklist_pvz/1070"
"441466431","https://t.me/Blacklist_pvz/973"
"446325687","https://t.me/Blacklist_pvz/3117"
"456803139","https://t.me/Blacklist_pvz/2074"
"458165389","https://t.me/Blacklist_pvz/363"
"459858080","https://t.me/Blacklist_pvz/319"
"467716836","https://t.me/Blacklist_pvz/759"
"482794211","https://t.me/Blacklist_pvz/520"
"493534769","https://t.me/Blacklist_pvz/1674"
"498518365","https://t.me/Blacklist_pvz/341"
"503630521","https://t.me/Blacklist_pvz/2155"
"505513752","https://t.me/Blacklist_pvz/1754"
"512626320","https://t.me/Blacklist_pvz/3176"
"538530119","https://t.me/Blacklist_pvz/1894"
"544030927","https://t.me/Blacklist_pvz/1677"
"574135632","https://t.me/Blacklist_pvz/989"
"577205481","https://t.me/Blacklist_pvz/174"
"581430874","https://t.me/Blacklist_pvz/2630"
"582079770","https://t.me/Blacklist_pvz/1956"
"582082645","https://t.me/Blacklist_pvz/792"
"604111630","https://t.me/Blacklist_pvz/44"
"616148678","https://t.me/Blacklist_pvz/2013"
"623819380","https://t.me/Blacklist_pvz/723"
"626552873","https://t.me/Blacklist_pvz/752"
"637433840","https://t.me/Blacklist_pvz/2562"
"641705699","https://t.me/Blacklist_pvz/395"
"642538279","https://t.me/Blacklist_pvz/675"
"649982321","https://t.me/Blacklist_pvz/3046"
"668955472","https://t.me/Blacklist_pvz/410"
"669583013","https://t.me/Blacklist_pvz/1610"
"675559627","https://t.me/Blacklist_pvz/2574"
"698633594","https://t.me/Blacklist_pvz/205"
"705677500","https://t.me/Blacklist_pvz/2086"
"706651568","https://t.me/Blacklist_pvz/1300"
